         4230830 function calls (4160770 primitive calls) in 29.786 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4597    0.010    0.000    0.060    0.000 transforms.py:131(invalidate)
      197    0.001    0.000    0.060    0.000 __init__.py:2628(activate)
    18987    0.038    0.000    0.060    0.000 transforms.py:1774(__init__)
    15557    0.022    0.000    0.060    0.000 numeric.py:414(asarray)
98301/94445    0.028    0.000    0.059    0.000 {hash}
    51606    0.044    0.000    0.059    0.000 pyparsing.py:2182(__hash__)
     1162    0.036    0.000    0.059    0.000 sre_compile.py:256(_optimize_charset)
     4070    0.050    0.000    0.058    0.000 font_manager.py:1204(score_weight)
       78    0.047    0.001    0.058    0.001 collections.py:305(namedtuple)
     4070    0.053    0.000    0.058    0.000 font_manager.py:1186(score_stretch)
     2179    0.024    0.000    0.058    0.000 path.py:198(_update_values)
      714    0.004    0.000    0.058    0.000 backend_pdf.py:1496(pathOperations)
        1    0.002    0.002    0.057    0.057 fontconfig_pattern.py:7(<module>)
        1    0.002    0.002    0.057    0.057 __init__.py:172(<module>)
      688    0.004    0.000    0.057    0.000 font_manager.py:907(set_fontconfig_pattern)
       26    0.001    0.000    0.055    0.002 axis.py:2159(_get_tick)
        1    0.003    0.003    0.055    0.055 interpolate.py:2(<module>)
        1    0.000    0.000    0.055    0.055 backend_pdf.py:2481(close)
      612    0.009    0.000    0.055    0.000 transforms.py:537(transformed)
        1    0.000    0.000    0.054    0.054 backend_pdf.py:572(finalize)
    11728    0.010    0.000    0.054    0.000 {method 'add' of 'set' objects}
      714    0.047    0.000    0.054    0.000 {matplotlib._path.convert_to_string}
     3228    0.006    0.000    0.054    0.000 transforms.py:1285(__add__)
     7153    0.013    0.000    0.053    0.000 colors.py:107(_is_nth_color)
      108    0.001    0.000    0.053    0.000 axis.py:494(_get_gridline)
       27    0.000    0.000    0.053    0.002 __init__.py:1120(rc_params_from_file)
        1    0.000    0.000    0.052    0.052 backend_pdf.py:702(writeFonts)
      676    0.004    0.000    0.052    0.000 path.py:435(cleaned)
        2    0.000    0.000    0.052    0.026 backend_pdf.py:887(embedTTF)
      764    0.004    0.000    0.052    0.000 __init__.py:1317(safe_version)
     6770    0.012    0.000    0.052    0.000 posixpath.py:132(islink)
    39618    0.051    0.000    0.051    0.000 {hasattr}
     23/3    0.000    0.000    0.051    0.017 offsetbox.py:270(draw)
     1726    0.008    0.000    0.051    0.000 transforms.py:833(from_extents)
258164/254455    0.046    0.000    0.051    0.000 {len}
        2    0.001    0.001    0.050    0.025 backend_pdf.py:905(embedTTFType3)
     3812    0.011    0.000    0.050    0.000 artist.py:66(_stale_axes_callback)
      303    0.006    0.000    0.050    0.000 sre_compile.py:433(_compile_info)
      612    0.012    0.000    0.050    0.000 path.py:977(get_path_collection_extents)
        1    0.007    0.007    0.050    0.050 Image.py:27(<module>)
      612    0.005    0.000    0.050    0.000 core.py:4289(ravel)
     2312    0.012    0.000    0.050    0.000 transforms.py:2062(translate)
7766/4597    0.039    0.000    0.050    0.000 transforms.py:142(_invalidate_internal)
     4227    0.009    0.000    0.050    0.000 fromnumeric.py:1892(any)
     1230    0.032    0.000    0.049    0.000 collections.py:883(set_sizes)
      315    0.001    0.000    0.049    0.000 __init__.py:2088(_handle_ns)
    10248    0.039    0.000    0.048    0.000 core.py:730(__hash__)
        1    0.007    0.007    0.048    0.048 _axes.py:1(<module>)
       81    0.000    0.000    0.048    0.001 backend_agg.py:271(_get_agg_font)
     1046    0.002    0.000    0.047    0.000 font_manager.py:1019(get)
        1    0.000    0.000    0.047    0.047 __init__.py:122(Conf)
      688    0.001    0.000    0.047    0.000 font_manager.py:708(_parse_fontconfig_pattern)
      197    0.001    0.000    0.047    0.000 __init__.py:2180(fixup_namespace_packages)
      108    0.001    0.000    0.046    0.000 axis.py:468(_get_tick1line)
        1    0.002    0.002    0.046    0.046 core.py:6(<module>)
        1    0.000    0.000    0.045    0.045 core.py:1(<module>)
        1    0.005    0.005    0.045    0.045 serializer.py:1(<module>)
        1    0.001    0.001    0.045    0.045 configuration.py:10(<module>)
        1    0.000    0.000    0.045    0.045 core.py:159(load_base_library)
        1    0.000    0.000    0.045    0.045 core.py:191(read_style_directory)
       27    0.008    0.000    0.044    0.002 __init__.py:1042(_rc_params_in_file)
      613    0.004    0.000    0.044    0.000 _base.py:2108(update_datalim)
     7089    0.012    0.000    0.044    0.000 re.py:138(match)
        1    0.001    0.001    0.044    0.044 ui.py:9(<module>)
      317    0.002    0.000    0.043    0.000 pkgutil.py:173(find_module)
      274    0.010    0.000    0.043    0.000 lines.py:649(recache)
      612    0.004    0.000    0.043    0.000 path.py:461(transformed)
      627    0.006    0.000    0.043    0.000 _base.py:2130(_process_unit_info)
       32    0.001    0.000    0.043    0.001 fontconfig_pattern.py:121(parse)
        1    0.005    0.005    0.042    0.042 textpath.py:3(<module>)
      108    0.001    0.000    0.041    0.000 axis.py:479(_get_tick2line)
    13495    0.020    0.000    0.041    0.000 numeric.py:484(asanyarray)
     1358    0.006    0.000    0.041    0.000 core.py:1919(__init__)
     3917    0.007    0.000    0.041    0.000 utils.py:176(sanitize_scale)
     2964    0.040    0.000    0.040    0.000 {method 'items' of 'dict' objects}
     1554    0.027    0.000    0.040    0.000 artist.py:87(__init__)
     2946    0.004    0.000    0.040    0.000 utils.py:248(resolve_fractions)
       11    0.000    0.000    0.040    0.004 artist.py:1475(kwdoc)
        2    0.001    0.000    0.040    0.020 core.py:1008(_compose)
       96    0.001    0.000    0.040    0.000 axis.py:1357(_copy_tick_props)
        4    0.002    0.000    0.040    0.010 __init__.py:10(<module>)
       27    0.000    0.000    0.039    0.001 pyparsing.py:2738(__init__)
        5    0.000    0.000    0.039    0.008 axis.py:2265(_update_label_position)
   183114    0.039    0.000    0.039    0.000 pyparsing.py:4579(<lambda>)
      632    0.006    0.000    0.039    0.000 backend_pdf.py:2320(clip_cmd)
     1394    0.006    0.000    0.039    0.000 backend_pdf.py:2210(__init__)
       13    0.000    0.000    0.039    0.003 _axes.py:1287(plot)
     1490    0.005    0.000    0.039    0.000 __init__.py:897(__setitem__)
        9    0.005    0.001    0.039    0.004 core.py:40(_flatten_units_collection)
     12/8    0.000    0.000    0.039    0.005 axis.py:670(__get__)
        2    0.000    0.000    0.038    0.019 utils.py:8(<module>)
        1    0.002    0.002    0.038    0.038 loader.py:2(<module>)
   192541    0.038    0.000    0.038    0.000 {method 'append' of 'list' objects}
     1268    0.005    0.000    0.038    0.000 axis.py:1456(update_units)
     3798    0.029    0.000    0.037    0.000 backend_pdf.py:103(fill)
      225    0.001    0.000    0.037    0.000 text.py:225(_get_xy_display)
     5516    0.012    0.000    0.037    0.000 utils.py:194(validate_power)
     7508    0.033    0.000    0.037    0.000 transforms.py:169(set_children)
     4070    0.027    0.000    0.037    0.000 font_manager.py:1125(score_family)
     9351    0.009    0.000    0.037    0.000 threading.py:215(__exit__)
     3316    0.018    0.000    0.037    0.000 transforms.py:2403(__init__)
       45    0.001    0.000    0.037    0.001 backend_pdf.py:2002(draw_text)
        1    0.036    0.036    0.036    0.036 kde.py:20(<module>)
        1    0.011    0.011    0.036    0.036 scandir.py:17(<module>)
       16    0.000    0.000    0.036    0.002 axis.py:2121(get_tick_space)
      626    0.007    0.000    0.036    0.000 path.py:521(get_extents)
      617    0.003    0.000    0.036    0.000 transforms.py:905(update_from_data_xy)
        5    0.000    0.000    0.036    0.007 axis.py:2246(_get_tick_boxes_siblings)
        1    0.003    0.003    0.036    0.036 colorbar.py:20(<module>)
     1468    0.013    0.000    0.036    0.000 backend_bases.py:849(__init__)
       14    0.000    0.000    0.035    0.003 ticker.py:1943(__call__)
     4135    0.007    0.000    0.035    0.000 figure.py:58(_stale_figure_callback)
    27739    0.035    0.000    0.035    0.000 cycler.py:227(<genexpr>)
       14    0.000    0.000    0.035    0.002 ticker.py:1947(tick_values)
      111    0.003    0.000    0.035    0.000 _distn_infrastructure.py:626(_construct_argparser)
     1380    0.010    0.000    0.035    0.000 core.py:1481(__init__)
