#Title: ACRONYM II. The {beta} Pictoris Moving Group (Shkolnik+," 2017)""",,,,,,,,,,,,,,,,,
#Column,2MASS,(A16),2MASS name (HHMMSSss+DDMMSSs),[ucd=meta.id;meta.main],,,,,,,,,,,,,,
#Column,SpType,(a9),Spectral type,[ucd=src.spType],,,,,,,,,,,,,,
#Column,EW(Ha),(F5.1),[-73.6/3.9]? H{alpha} equivalent width ({AA}),[ucd=spect.line.eqWidth;em.line.Halpha],,,,,,,,,,,,,,
#Column,l_EW(Li),(A1),[<] Limit flag on EW(Li),[ucd=meta.code.error],,,,,,,,,,,,,,
#Column,EW(Li),(I3),[-39/920]? Li equivalent width ({AA}) [NULL integer written as an empty string],[ucd=spect.line.eqWidth],,,,,,,,,,,,,,
#Column,RV,(F6.2),[-25.6/23.5]? Radial velocity,[ucd=phys.veloc;pos.heliocentric],,,,,,,,,,,,,,
#Column,GType,(A5),"Gravity type (FLD-G, INT-G or VL-G) (G1)",[ucd=src.class],,,,,,,,,,,,,,
#Column,plx,(F5.1),[10.1/102.1]? Parallaxe {pi},[ucd=pos.parallax.trig],,,,,,,,,,,,,,
#Column,MmRV,(A2),Membership assessment of the RV (G2) (2),[ucd=meta.code.member],,,,,,,,,,,,,,
#Column,MmHa,(A1),Membership assessment of the H{alpha} emission (G2) (2),[ucd=meta.code.member],,,,,,,,,,,,,,
#Column,MmLi,(A1),Membership assessment of the Li absorption (G2) (2),[ucd=meta.code.member],,,,,,,,,,,,,,
#Column,BPMG,(A2),BPMG member? (G2) (2),[ucd=meta.code.member],,,,,,,,,,,,,,
2MASS,B-V,SpType,EW(Ha),l_EW(Li),EW(Li),RV,GType,plx,MmRV,MmHa,MmLi,BPMG,notes,2MASS,identifier,bib(B;V),binaries,bad B-V
2MASS J17150362-2749397,1.084,K5       ,-1.2, ,490,-6.4,---  ,13.1,Y ,Y,Y,Y,,2MASS J17150362-2749397,CD-27 11535               ,2000A&A...355L..27H;2012AcA....62...67K,,
2MASS J17172550-6657039,0.776,G5       ,     , ,250,5.9,---  ,32.8,  , , ,,OOR,2MASS J17172550-6657039,HD 155555                 ,,,
2MASS J17173128-6657055,1.54,M4.5     ,-5.5, ,20,2.7,---  ,     ,Y ,Y,?,Y,,2MASS J17173128-6657055,HD 155555C                ,2006A&A...460..695T,,
2MASS J17292067-5014529,1.46,M3       ,-6.7, ,50,-0.1,---  ,     ,Y ,Y,?,Y,,2MASS J17292067-5014529,GSC 08350-01924           ,2006A&A...460..695T,,
2MASS J17295506-5415487,0.766,K1       ,0.2, ,360,1.6,---  ,14.4,Y ,Y,Y,Y,,2MASS J17295506-5415487,CD-54 7336                ,2000A&A...355L..27H;2012AcA....62...67K,,
2MASS J17414903-5043279,0.505,F9       ,2.6, ,130,2.4,---  ,13.8,  , , ,,OOR,2MASS J17414903-5043279,HD 160305                 ,,,
2MASS J17483374-5306433,1.495,K0       ,0.4, ,320,1.4,---  ,     ,Y ,Y,Y,Y,,2MASS J17483374-5306433,HD 161460                 ,2006A&A...460..695T;2012AcA....62...67K,,
2MASS J18030341-5138564,0.431,F5       ,     , ,107,0.5,---  ,19.8,  , , ,,OOR,2MASS J18030341-5138564,HD 164249                 ,,,
2MASS J18030409-5138561,,M2       ,-2.3, ,70,-2.4,---  ,     ,Y ,Y,?,Y,OOR,2MASS J18030409-5138561,HD 164249B                ,,,
2MASS J18064990-4325297,0.23,A5       ,     , ,   ,-7.8,---  ,23.9,  , , ,,OOR,2MASS J18064990-4325297,CD-43 12272               ,,,
2MASS J18141047-3247344,0.79,K6       ,-60, ,440,-13.3,---  ,     ,Y ,Y,Y,Y,,2MASS J18141047-3247344,HD 319139                 ,2000A&A...355L..27H,,
2MASS J18142207-3246100,1.36,M1.5     ,-3.1, ,200,-5.7,---  ,     ,Y ,Y,Y,Y,,2MASS J18142207-3246100,GSC 07396-00759           ,2006A&A...460..695T,,
2MASS J18151564-4927472,1.558,M3       ,-5,<,46,0.3,---  ,     ,Y ,Y,?,Y?,OOR,2MASS J18151564-4927472,2MASS J18151564-4927472   ,,,
2MASS J18195221-2916327,0.596,G5       ,     , ,290,-7,---  ,12.6,  , , ,,OOR,2MASS J18195221-2916327,HD 168210                 ,,,
2MASS J18202275-1011131,,K5+K7    ,-9.8, ,530,-13.8,---  ,13.2,Y ,Y,Y,Y,OOR,2MASS J18202275-1011131,BD-10 4662                ,,,
2MASS J18420483-5554126,1.42,M4.5     ,-5.5, ,   ,      ,---  ,     ,- ,Y,-,Y?,OOR,2MASS J18420483-5554126,UCAC4 171-199133          ,,,
2MASS J18420694-5554254,,M3.5     ,-6.9, ,   ,0.3,---  ,     ,Y ,Y,-,Y,OOR,2MASS J18420694-5554254,2MASS J18420694-5554254   ,,,
2MASS J18452691-6452165,0.2,A7       ,     , ,   ,2,---  ,35,  , , ,,OOR,2MASS J18452691-6452165,HD 172555                 ,,,
2MASS J18453704-6451460,1.087,K7       ,-3.3, ,490,1,---  ,     ,Y ,Y,Y,Y,binary,2MASS J18453704-6451460,CD-64 1208                ,,,
2MASS J18465255-6210366,1.239,M1       ,-1.9, ,332,2.4,---  ,     ,Y ,Y,Y,Y,bad,2MASS J18465255-6210366,Smethells 20              ,,,
2MASS J18480637-6213470,0.47,F5       ,     , ,107,0.8,---  ,19.8,  , , ,,OOR,2MASS J18480637-6213470,HD 173167                 ,,,
2MASS J18504448-3147472,1.059,K7       ,-1.8, ,492,-6,---  ,20.1,Y ,Y,Y,Y,bad,2MASS J18504448-3147472,CD-31 16041               ,,,
2MASS J18530587-5010499,0.878,K0       ,     , ,287,-3.4,---  ,19.4,Y ,-,Y,Y,,2MASS J18530587-5010499,V* PZ Tel                 ,2000A&A...355L..27H;2012AcA....62...67K,,
2MASS J18580415-2953045,2.16,M0       ,-2.8, ,483,-4.9,---  ,12.8,Y ,Y,Y,Y,bad,2MASS J18580415-2953045,TYC 6872-1011-1           ,,,
2MASS J18580464-2953320,,---      ,-5,<,28,-7,---  ,     ,  , , ,,OOR,2MASS J18580464-2953320,UCAC2 19527490            ,,,
2MASS J19102820-2319486,1.533,M4.0     ,-8.7,<,55,-7,---  ,     ,Y ,Y,?,Y,,2MASS J19102820-2319486,1SWASP J191028.18-231948.0,2006AJ....132..866R,,
2MASS J19114467-2604085,1.09,K4       ,0, ,320,-8.1,---  ,     ,Y ,Y,Y,Y,,2MASS J19114467-2604085,CD-26 13904               ,2000A&A...355L..27H,,
2MASS J19225122-5425263,0.015,A0       ,     , ,   ,-2,---  ,20.7,  , , ,,OOR,2MASS J19225122-5425263,* eta Tel                 ,,,
2MASS J19225894-5432170,0.46,F5.5     ,     , ,120,-0.7,---  ,20.6,  , , ,,OOR,2MASS J19225894-5432170,HD 181327                 ,,,
2MASS J19233820-4606316,,M0       ,-1.1, ,422,0,---  ,     ,Y ,Y,Y,Y,OOR,2MASS J19233820-4606316,1SWASP J192338.19-460631.5,,,
2MASS J19243494-3442392,1.578,M4       ,-13.9, ,   ,-3.7,---  ,     ,Y ,Y,-,Y,OOR,2MASS J19243494-3442392,1SWASP J192434.97-344239.3,,,
2MASS J19312434-2134226,,M2.5     ,-8.9, ,   ,-25.6,---  ,38.5,N ,Y,-,Y?,OOR,2MASS J19312434-2134226,2MASS J19312434-2134226   ,,,
2MASS J19355595-2846343,,M9       ,-42.1, ,   ,      ,INT-G,14.2,- ,Y,-,Y?,OOR,2MASS J19355595-2846343,2MASS J19355595-2846343   ,,,
2MASS J19560294-3207186,1.56,M4       ,-4.5,<,100,-3.7,---  ,     ,Y ,Y,?,Y,,2MASS J19560294-3207186,UCAC3 116-474938          ,2012yCat.1322....0Z,,
2MASS J19560438-3207376,1.361,M0.0     ,-0.7, ,110,-7.2,---  ,19.9,Y ,Y,Y,Y,bad,2MASS J19560438-3207376,TYC 7443-1102-1           ,,,
2MASS J20004841-7523070,,M9       ,     , ,   ,4.4,VL-G ,     ,Y ,-,-,Y,OOR,2MASS J20004841-7523070,DENIS J200048.3-752306    ,,,
2MASS J20013718-3313139,,M1       ,-1,<,100,-3.7,---  ,     ,Y ,Y,?,Y,OOR,2MASS J20013718-3313139,2MASS J20013718-3313139   ,,,
2MASS J20041810-2619461,0.62,G1       ,     , ,110,-6.9,---  ,21.2,  , , ,,OOR,2MASS J20041810-2619461,HD 190102                 ,,,
2MASS J20055640-3216591,,---      ,-1.9, ,140,-5.1,---  ,     ,  , , ,,OOR,2MASS J20055640-3216591,V* V5663 Sgr              ,,,
2MASS J20090521-2613265,0.44,F5       ,1.6, ,58,-7.8,---  ,19.6,  , , ,,OOR,2MASS J20090521-2613265,HD 191089                 ,,,
2MASS J20100002-2801410,1.5,M2.5+M3.5,-10.1,<,46,-5.8,---  ,20.9,Y ,Y,?,Y,,2MASS J20100002-2801410,SCR J2010-2801            ,2012yCat.1322....0Z,,
2MASS J20135152-2806020,,M9       ,     , ,   ,-5.81,VL-G ,21,Y ,?,?,Y,OOR,2MASS J20135152-2806020,2MASS J20135152-2806020   ,,,
